multiplexID,streetAddress,city,state,zip
1,100 Main St,Los Angeles,CA,90001
2,101 Main St,New York,NY,90002
3,102 Main St,Chicago,IL,90003
4,103 Main St,Houston,TX,90004
5,104 Main St,San Francisco,CA,90005
6,105 Main St,Miami,FL,90006
7,106 Main St,Dallas,TX,90007
8,107 Main St,Atlanta,GA,90008
9,108 Main St,Seattle,WA,90009
10,109 Main St,Boston,MA,90010
11,110 Main St,Los Angeles,CA,90011
12,111 Main St,New York,NY,90012
13,112 Main St,Chicago,IL,90013
14,113 Main St,Houston,TX,90014
15,114 Main St,San Francisco,CA,90015
16,115 Main St,Miami,FL,90016
17,116 Main St,Dallas,TX,90017
18,117 Main St,Atlanta,GA,90018
19,118 Main St,Seattle,WA,90019
20,119 Main St,Boston,MA,90020
21,120 Main St,Los Angeles,CA,90021
22,121 Main St,New York,NY,90022
23,122 Main St,Chicago,IL,90023
24,123 Main St,Houston,TX,90024
25,124 Main St,San Francisco,CA,90025
26,125 Main St,Miami,FL,90026
27,126 Main St,Dallas,TX,90027
28,127 Main St,Atlanta,GA,90028
29,128 Main St,Seattle,WA,90029
30,129 Main St,Boston,MA,90030
31,130 Main St,Los Angeles,CA,90031
32,131 Main St,New York,NY,90032
33,132 Main St,Chicago,IL,90033
34,133 Main St,Houston,TX,90034
35,134 Main St,San Francisco,CA,90035
36,135 Main St,Miami,FL,90036
37,136 Main St,Dallas,TX,90037
38,137 Main St,Atlanta,GA,90038
39,138 Main St,Seattle,WA,90039
40,139 Main St,Boston,MA,90040
41,140 Main St,Los Angeles,CA,90041
42,141 Main St,New York,NY,90042
43,142 Main St,Chicago,IL,90043
44,143 Main St,Houston,TX,90044
45,144 Main St,San Francisco,CA,90045
46,145 Main St,Miami,FL,90046
47,146 Main St,Dallas,TX,90047
48,147 Main St,Atlanta,GA,90048
49,148 Main St,Seattle,WA,90049
50,149 Main St,Boston,MA,90050
51,150 Main St,Los Angeles,CA,90051
52,151 Main St,New York,NY,90052
53,152 Main St,Chicago,IL,90053
54,153 Main St,Houston,TX,90054
55,154 Main St,San Francisco,CA,90055
56,155 Main St,Miami,FL,90056
57,156 Main St,Dallas,TX,90057
58,157 Main St,Atlanta,GA,90058
59,158 Main St,Seattle,WA,90059
60,159 Main St,Boston,MA,90060
61,160 Main St,Los Angeles,CA,90061
62,161 Main St,New York,NY,90062
63,162 Main St,Chicago,IL,90063
64,163 Main St,Houston,TX,90064
65,164 Main St,San Francisco,CA,90065
66,165 Main St,Miami,FL,90066
67,166 Main St,Dallas,TX,90067
68,167 Main St,Atlanta,GA,90068
69,168 Main St,Seattle,WA,90069
70,169 Main St,Boston,MA,90070
71,170 Main St,Los Angeles,CA,90071
72,171 Main St,New York,NY,90072
73,172 Main St,Chicago,IL,90073
74,173 Main St,Houston,TX,90074
75,174 Main St,San Francisco,CA,90075
76,175 Main St,Miami,FL,90076
77,176 Main St,Dallas,TX,90077
78,177 Main St,Atlanta,GA,90078
79,178 Main St,Seattle,WA,90079
80,179 Main St,Boston,MA,90080
81,180 Main St,Los Angeles,CA,90081
82,181 Main St,New York,NY,90082
83,182 Main St,Chicago,IL,90083
84,183 Main St,Houston,TX,90084
85,184 Main St,San Francisco,CA,90085
86,185 Main St,Miami,FL,90086
87,186 Main St,Dallas,TX,90087
88,187 Main St,Atlanta,GA,90088
89,188 Main St,Seattle,WA,90089
90,189 Main St,Boston,MA,90090
91,190 Main St,Los Angeles,CA,90091
92,191 Main St,New York,NY,90092
93,192 Main St,Chicago,IL,90093
94,193 Main St,Houston,TX,90094
95,194 Main St,San Francisco,CA,90095
96,195 Main St,Miami,FL,90096
97,196 Main St,Dallas,TX,90097
98,197 Main St,Atlanta,GA,90098
99,198 Main St,Seattle,WA,90099
100,199 Main St,Boston,MA,90100
101,200 Main St,Los Angeles,CA,90101
102,201 Main St,New York,NY,90102
103,202 Main St,Chicago,IL,90103
104,203 Main St,Houston,TX,90104
105,204 Main St,San Francisco,CA,90105
106,205 Main St,Miami,FL,90106
107,206 Main St,Dallas,TX,90107
108,207 Main St,Atlanta,GA,90108
109,208 Main St,Seattle,WA,90109
110,209 Main St,Boston,MA,90110
111,210 Main St,Los Angeles,CA,90111
112,211 Main St,New York,NY,90112
113,212 Main St,Chicago,IL,90113
114,213 Main St,Houston,TX,90114
115,214 Main St,San Francisco,CA,90115
116,215 Main St,Miami,FL,90116
117,216 Main St,Dallas,TX,90117
118,217 Main St,Atlanta,GA,90118
119,218 Main St,Seattle,WA,90119
120,219 Main St,Boston,MA,90120
121,220 Main St,Los Angeles,CA,90121
122,221 Main St,New York,NY,90122
123,222 Main St,Chicago,IL,90123
124,223 Main St,Houston,TX,90124
125,224 Main St,San Francisco,CA,90125
126,225 Main St,Miami,FL,90126
127,226 Main St,Dallas,TX,90127
128,227 Main St,Atlanta,GA,90128
129,228 Main St,Seattle,WA,90129
130,229 Main St,Boston,MA,90130
131,230 Main St,Los Angeles,CA,90131
132,231 Main St,New York,NY,90132
133,232 Main St,Chicago,IL,90133
134,233 Main St,Houston,TX,90134
135,234 Main St,San Francisco,CA,90135
136,235 Main St,Miami,FL,90136
137,236 Main St,Dallas,TX,90137
138,237 Main St,Atlanta,GA,90138
139,238 Main St,Seattle,WA,90139
140,239 Main St,Boston,MA,90140
141,240 Main St,Los Angeles,CA,90141
142,241 Main St,New York,NY,90142
143,242 Main St,Chicago,IL,90143
144,243 Main St,Houston,TX,90144
145,244 Main St,San Francisco,CA,90145
146,245 Main St,Miami,FL,90146
147,246 Main St,Dallas,TX,90147
148,247 Main St,Atlanta,GA,90148
149,248 Main St,Seattle,WA,90149
150,249 Main St,Boston,MA,90150
151,250 Main St,Los Angeles,CA,90151
152,251 Main St,New York,NY,90152
153,252 Main St,Chicago,IL,90153
154,253 Main St,Houston,TX,90154
155,254 Main St,San Francisco,CA,90155
156,255 Main St,Miami,FL,90156
157,256 Main St,Dallas,TX,90157
158,257 Main St,Atlanta,GA,90158
159,258 Main St,Seattle,WA,90159
160,259 Main St,Boston,MA,90160
161,260 Main St,Los Angeles,CA,90161
162,261 Main St,New York,NY,90162
163,262 Main St,Chicago,IL,90163
164,263 Main St,Houston,TX,90164
165,264 Main St,San Francisco,CA,90165
166,265 Main St,Miami,FL,90166
167,266 Main St,Dallas,TX,90167
168,267 Main St,Atlanta,GA,90168
169,268 Main St,Seattle,WA,90169
170,269 Main St,Boston,MA,90170
171,270 Main St,Los Angeles,CA,90171
172,271 Main St,New York,NY,90172
173,272 Main St,Chicago,IL,90173
174,273 Main St,Houston,TX,90174
175,274 Main St,San Francisco,CA,90175
176,275 Main St,Miami,FL,90176
177,276 Main St,Dallas,TX,90177
178,277 Main St,Atlanta,GA,90178
179,278 Main St,Seattle,WA,90179
180,279 Main St,Boston,MA,90180
181,280 Main St,Los Angeles,CA,90181
182,281 Main St,New York,NY,90182
183,282 Main St,Chicago,IL,90183
184,283 Main St,Houston,TX,90184
185,284 Main St,San Francisco,CA,90185
186,285 Main St,Miami,FL,90186
187,286 Main St,Dallas,TX,90187
188,287 Main St,Atlanta,GA,90188
189,288 Main St,Seattle,WA,90189
190,289 Main St,Boston,MA,90190
191,290 Main St,Los Angeles,CA,90191
192,291 Main St,New York,NY,90192
193,292 Main St,Chicago,IL,90193
194,293 Main St,Houston,TX,90194
195,294 Main St,San Francisco,CA,90195
196,295 Main St,Miami,FL,90196
197,296 Main St,Dallas,TX,90197
198,297 Main St,Atlanta,GA,90198
199,298 Main St,Seattle,WA,90199
200,299 Main St,Boston,MA,90200
